,AGENCE,CODE RESPONSABLE,,,,,,,,,,
CLIENACLI,CLIENAAGE,CLIENARES,CLIENACRE,SABVERSION,,N AGENCE,N CODE RESP,,N° Prospect,Agence,Libellé Agence,
174073,102,21,1140604,0,,,,,174073,01730,BOURG EN BRESSE,
174104,102,21,1140604,0,,,,,174104,54730,NANCY,
174107,102,21,1140604,0,,,,,174107,44730,NANTES,
174293,102,21,1140604,0,,,,,174293,87740,D.R./LIMOGES,
174602,102,21,1140604,0,,,,,174602,49730,ANGERS,
174716,102,21,1140604,0,,,,,174716,44730,NANTES,
175120,102,21,1140604,0,,,,,175120,35760,D.R./RENNES,
175467,102,21,1140604,0,,,,,175467,44730,NANTES,
175874,102,21,1140604,0,,,,,175874,44730,NANTES,
175951,102,21,1140604,0,,,,,175951,49730,ANGERS,
175977,102,21,1140604,0,,,,,175977,44730,NANTES,
176931,102,21,1140604,0,,,,,176931,64730,PAU,
176955,102,21,1140604,0,,,,,176955,31850,D.R./TOULOUSE,
177270,102,21,1140604,0,,,,,177270,80730,AMIENS,
177325,102,21,1140604,0,,,,,177325,41740,D.R./BLOIS,
177402,102,21,1140604,0,,,,,177402,49730,ANGERS,
177487,102,21,1140604,0,,,,,177487,87730,LIMOGES,
178091,102,21,1140604,0,,,,,178091,80730,AMIENS,
178186,102,21,1140604,0,,,,,178186,89730,AUXERRE,
178248,102,21,1140604,0,,,,,178248,38750,D.R./VIENNE,
178367,102,21,1140604,0,,,,,178367,21730,DIJON,
178501,102,21,1140604,0,,,,,178501,89730,AUXERRE,
178522,102,21,1140604,0,,,,,178522,86730,POITIERS,
178637,102,21,1140604,0,,,,,178637,54730,NANCY,
178733,102,21,1140604,0,,,,,178733,06730,NICE,
178770,102,21,1140604,0,,,,,178770,35760,D.R./RENNES,
178967,102,21,1140604,0,,,,,178967,49730,ANGERS,
179377,102,21,1140604,0,,,,,179377,76750,D.R./ROUEN,
179404,102,21,1140604,0,,,,,179404,01730,BOURG EN BRESSE,
179461,102,21,1140604,0,,,,,179461,54730,NANCY,
179476,102,21,1140604,0,,,,,179476,44730,NANTES,
179776,102,21,1140604,0,,,,,179776,76750,D.R./ROUEN,
180342,102,21,1140604,0,,,,,180342,54730,NANCY,
180508,102,21,1140604,0,,,,,180508,69730,LYON,
182104,102,21,1140604,0,,,,,182104,34730,MONTPELLIER,
182140,102,21,1140604,0,,,,,182140,34730,MONTPELLIER,
183096,102,21,1140604,0,,,,,183096,63750,CLERMONT-FERRAND,
184733,102,21,1140604,0,,,,,184733,13730,MARSEILLE,
184759,102,21,1140604,0,,,,,184759,13730,MARSEILLE,
186212,102,21,1140604,0,,,,,186212,34730,MONTPELLIER,
190008,102,21,1140604,0,,,,,190008,86730,POITIERS,
190152,102,21,1140604,0,,,,,190152,86730,POITIERS,
190160,102,21,1140604,0,,,,,190160,86730,POITIERS,
190433,102,21,1140604,0,,,,,190433,13730,MARSEILLE,
190464,102,21,1140604,0,,,,,190464,13730,MARSEILLE,
